old_id,new_id,reason
562,57,dup
563,52,dup
564,151,dup
565,236,dup
566,84,dup
567,34,dup
568,568,
569,569,
570,570,
571,435,dup
572,28,dup
573,573,
574,574,
575,575,
576,151,dup
577,275,dup
578,265,dup
579,579,
580,193,dup
581,581,
582,582,
583,458,dup
584,238,dup
585,16,dup
586,53,dup
587,15,dup
588,588,
589,589,
590,427,dup
591,185,dup
592,592,
593,53,dup
594,134,dup
595,8,dup
596,596,
597,597,
598,522,dup
599,599,
600,346,dup
601,601,
602,602,
603,603,
604,604,
605,464,dup
606,384,dup
607,607,
608,608,
609,200,dup
610,61,dup
611,611,
612,612,
613,613,
614,535,dup
615,615,
616,9,dup
617,164,dup
618,618,
619,39,dup
620,182,dup
621,621,
622,347,dup
623,623,
624,624,
625,195,dup
626,250,dup
627,627,
628,628,
629,629,
630,630,
631,631,
632,547,dup
633,122,dup
634,531,dup
635,635,
636,339,dup
637,637,
638,8,dup
639,132,dup
640,640,
641,142,dup
642,642,
643,643,
644,331,dup
645,193,dup
646,275,dup
647,8,dup
648,107,dup
649,151,dup
650,575,dup
651,607,dup
652,503,dup
653,30,dup
654,248,dup
655,24,dup
656,656,
657,657,
658,125,dup
659,347,dup
660,27,dup
661,211,dup
662,548,dup
663,663,
664,421,dup
665,554,dup
666,666,
667,95,dup
668,18,dup
669,431,dup
670,432,dup
671,133,dup
672,672,
673,248,dup
674,61,dup
675,675,
676,239,dup
677,60,dup
678,678,
679,451,dup
680,399,dup
681,681,
682,682,
683,116,dup
684,539,dup
685,88,dup
686,148,dup
687,36,dup
688,688,
689,524,dup
690,663,dup
691,691,
692,692,
693,53,dup
694,27,dup
695,695,
696,399,dup
697,697,
698,698,
699,699,
700,700,
701,701,
702,702,
703,703,
704,704,
705,705,
706,706,
707,707,
708,708,
709,43,dup
710,347,dup
711,692,dup
712,712,
713,244,dup
714,232,dup
715,715,
716,716,
717,717,
718,469,dup
719,76,dup
720,720,
721,218,dup
722,722,
723,723,
724,108,dup
725,26,dup
726,31,dup
727,230,dup
728,728,
729,158,dup
730,730,
731,731,
732,732,
733,522,dup
734,339,dup
735,524,dup
736,61,dup
737,737,
738,738,
739,538,dup
740,740,
741,43,dup
742,134,dup
743,95,dup
744,159,dup
745,147,dup
746,746,
747,747,
748,748,
749,66,dup
750,750,
751,751,
752,431,dup
753,15,dup
754,754,
755,755,
756,126,dup
757,208,dup
758,84,dup
759,136,dup
760,451,dup
761,213,dup
762,75,dup
763,143,dup
764,764,
765,15,dup
766,766,
767,47,dup
768,768,
769,454,dup
770,770,
771,771,
772,360,dup
773,193,dup
774,66,dup
775,775,
776,21,dup
777,777,
778,778,
779,779,
780,129,dup
781,270,dup
782,782,
783,783,
784,267,dup
785,470,dup
786,682,dup
787,25,dup
788,424,dup
789,347,dup
790,790,
791,791,
792,120,dup
793,601,dup
794,44,dup
795,795,
796,115,dup
797,797,
798,72,dup
799,799,
800,152,dup
801,424,dup
802,695,dup
803,755,dup
804,804,
805,313,dup
806,331,dup
807,85,dup
808,808,
809,125,dup
810,384,dup
811,811,
812,168,dup
813,813,
814,8,dup
815,815,
816,275,dup
817,817,
818,818,
819,607,dup
820,820,
821,722,dup
822,215,dup
823,823,
824,824,
825,394,dup
826,824,dup
827,524,dup
828,602,dup
829,829,
830,218,dup
831,347,dup
832,832,
833,538,dup
834,92,dup
835,339,dup
836,836,
837,581,dup
838,158,dup
839,839,
840,452,dup
841,356,dup
842,170,dup
843,843,
844,844,
845,535,dup
846,15,dup
847,378,dup
848,522,dup
849,754,dup
850,850,
851,27,dup
852,238,dup
853,704,dup
854,854,
855,855,
856,856,
857,335,dup
858,858,
859,39,dup
860,56,dup
861,55,dup
862,3,dup
863,399,dup
864,621,dup
865,865,
866,866,
867,815,dup
868,59,dup
869,869,
870,94,dup
871,871,
872,361,dup
873,360,dup
874,347,dup
875,238,dup
876,360,dup
877,877,
878,878,
879,56,dup
880,83,dup
881,193,dup
882,574,dup
883,269,dup
884,884,
885,95,dup
886,886,
887,5,dup
888,888,
889,318,dup
890,890,
891,431,dup
892,24,dup
893,360,dup
894,894,
895,56,dup
896,82,dup
897,200,dup
898,346,dup
899,899,
900,900,
901,39,dup
902,782,dup
903,701,dup
904,384,dup
905,905,
906,262,dup
907,907,
908,112,dup
909,143,dup
910,910,
911,911,
912,56,dup
913,913,
914,15,dup
915,15,dup
916,916,
917,115,dup
918,18,dup
919,8,dup
920,49,dup
921,171,dup
922,158,dup
923,368,dup
924,142,dup
925,189,dup
926,926,
927,538,dup
928,39,dup
929,162,dup
930,16,dup
931,931,
932,770,dup
933,24,dup
934,537,dup
935,935,
936,829,dup
937,39,dup
938,938,
939,340,dup
940,30,dup
941,941,
942,126,dup
943,381,dup
944,180,dup
945,159,dup
946,360,dup
947,569,dup
948,948,
949,39,dup
950,410,dup
951,339,dup
952,952,
953,60,dup
954,700,dup
955,60,dup
956,613,dup
957,15,dup
958,958,
959,143,dup
960,960,
961,83,dup
962,818,dup
963,748,dup
964,84,dup
965,965,
966,966,
967,967,
968,968,
969,48,dup
970,970,
971,217,dup
972,399,dup
973,388,dup
974,974,
975,227,dup
976,764,dup
977,977,
978,281,dup
979,979,
980,75,dup
981,707,dup
982,960,dup
983,109,dup
984,85,dup
985,84,dup
986,339,dup
987,987,
988,706,dup
989,126,dup
990,421,dup
991,402,dup
992,621,dup
993,44,dup
994,115,dup
995,321,dup
996,82,dup
997,432,dup
998,347,dup
999,220,dup
1000,427,dup
1001,56,dup
1002,218,dup
1003,5,dup
1004,1004,
1005,414,dup
1006,746,dup
1007,1007,
1008,697,dup
1009,808,dup
1010,967,dup
1011,30,dup
1012,147,dup
1013,1013,
1014,34,dup
1015,629,dup
1016,125,dup
1017,5,dup
1018,208,dup
1019,128,dup
1020,1020,
1021,108,dup
1022,1022,
1023,1023,
1024,70,dup
1025,844,dup
1026,1026,
1027,960,dup
1028,1028,
1029,1029,
1030,30,dup
1031,215,dup
1032,1032,
1033,459,dup
1034,431,dup
1035,152,dup
1036,30,dup
1037,34,dup
1038,339,dup
1039,1039,
1040,95,dup
1041,27,dup
1042,829,dup
1043,431,dup
1044,125,dup
1045,281,dup
1046,491,dup
1047,1047,
1048,1048,
1049,1049,
1050,1050,
1051,746,dup
1052,1052,
1053,1053,
1054,16,dup
1055,704,dup
1056,15,dup
1057,1057,
1058,1058,
1059,75,dup
1060,171,dup
1061,72,dup
1062,755,dup
1063,1063,
1064,768,dup
1065,180,dup
1066,96,dup
1067,176,dup
1068,979,dup
1069,1069,
1070,527,dup
1071,1071,
1072,856,dup
1073,627,dup
1074,25,dup
1075,431,dup
1076,1076,
1077,15,dup
1078,1078,
1079,339,dup
1080,720,dup
1081,1020,dup
1082,431,dup
1083,23,dup
1084,215,dup
1085,637,dup
1086,1086,
1087,347,dup
1088,1088,
1089,1089,
1090,754,dup
1091,343,dup
1092,856,dup
1093,65,dup
1094,1058,dup
1095,56,dup
1096,960,dup
1097,206,dup
1098,692,dup
1099,8,dup
1100,1100,
1101,1101,
1102,523,dup
1103,6,dup
1104,24,dup
1105,1105,
1106,522,dup
1107,72,dup
1108,360,dup
1109,68,dup
1110,109,dup
1111,244,dup
1112,388,dup
1113,1113,
1114,66,dup
1115,159,dup
1116,286,dup
1117,254,dup
1118,1118,
1119,1078,dup
1120,675,dup
1121,12,dup
1122,1122,
1123,383,dup
1124,1124,
1125,357,dup
1126,238,dup
1127,1127,
1128,823,dup
1129,1129,
1130,818,dup
1131,402,dup
1132,359,dup
1133,232,dup
1134,343,dup
1135,414,dup
1136,39,dup
1137,797,dup
1138,388,dup
1139,125,dup
1140,1140,
1141,193,dup
1142,1142,
1143,213,dup
1144,541,dup
1145,282,dup
1146,415,dup
1147,180,dup
1148,162,dup
1149,415,dup
1150,292,dup
1151,575,dup
1152,83,dup
1153,538,dup
1154,44,dup
1155,1155,
1156,208,dup
1157,218,dup
1158,1158,
1159,1159,
1160,52,dup
1161,343,dup
1162,452,dup
1163,768,dup
1164,1164,
1165,1165,
1166,539,dup
1167,282,dup
1168,304,dup
1169,87,dup
1170,53,dup
1171,1171,
1172,1057,dup
1173,1173,
1174,1174,
1175,596,dup
1176,151,dup
1177,960,dup
1178,541,dup
1179,888,dup
1180,415,dup
1181,72,dup
1182,351,dup
1183,335,dup
1184,143,dup
1185,44,dup
1186,347,dup
1187,1187,
1188,569,dup
1189,186,dup
1190,1190,
1191,14,dup
1192,308,dup
1193,1193,
1194,1194,
1195,41,dup
1196,270,dup
1197,601,dup
1198,844,dup
1199,339,dup
1200,281,dup
1201,431,dup
1202,416,dup
1203,799,dup
1204,1204,
1205,184,dup
1206,427,dup
1207,20,dup
1208,179,dup
1209,53,dup
1210,1210,
1211,296,dup
1212,6,dup
1213,544,dup
1214,3,dup
1215,87,dup
1216,126,dup
